stock_code,company_name,sector_name
1301,極洋,水産・農林業
1305,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,その他
1306,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,その他
1308,日興アセットマネジメント株式会社　　上場インデックスファンドＴＯＰＩＸ,その他
1309,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,その他
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品
1311,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,その他
1319,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,その他
131A,ＣＣＮグループ,情報･通信業
1320,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,その他
1321,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,その他
1322,日興アセットマネジメント株式会社　上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,その他
1324,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信,その他
1325,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,その他
1326,ワールド・ゴールド・トラスト・サービシズ・エルエルシー　ＳＰＤＲゴールド・シェア,その他
1328,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,その他
1329,ブラックロック・ジャパン株式会社　　ｉシェアーズ・コア　日経２２５　ＥＴＦ,その他
132A,アイエヌホールディングス,陸運業
1330,日興アセットマネジメント株式会社　　上場インデックスファンド２２５,その他
1332,ニッスイ,水産・農林業
1333,マルハニチロ,水産・農林業
133A,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社　グローバルＸ　超短期米国債　ＥＴＦ,その他
1343,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,その他
1345,日興アセットマネジメント株式会社　上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,その他
1346,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　日経２２５上場投信,その他
1348,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　トピックス上場投信,その他
1349,ステート・ストリート・グローバル・アドバイザーズ・シンガポール・リミテッド　ＡＢＦ汎アジア債券インデックス・ファンド,その他
134A,アプライズ,サービス業
1356,シンプレクス・アセット・マネジメント株式会社　ＴＯＰＩＸベア２倍上場投信,その他
1357,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,その他
1358,日興アセットマネジメント株式会社　上場インデックスファンド日経レバレッジ指数,その他
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報･通信業
1360,シンプレクス・アセット・マネジメント株式会社　日経平均ベア２倍上場投信,その他
1364,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,その他
1365,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,その他
1366,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,その他
1367,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,その他
1368,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（−２倍）指数,その他
1369,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　日経２２５,その他
136A,三興商事,建設業
